"order_month","customer_state","total_orders","total_revenue"
"2018-08-01","DF","143","23431.71"
"2018-08-01","ES","103","19353.93"
"2018-08-01","GO","117","21204.65"
"2018-08-01","MA","29","5200.03"
"2018-08-01","MG","700","113569.86"
"2018-08-01","MS","35","6551.95"
"2018-08-01","MT","39","5732.64"
"2018-08-01","PA","43","10965.90"
"2018-08-01","PB","28","9135.64"
"2018-08-01","PE","83","15148.16"
"2018-08-01","PI","20","3864.86"
"2018-08-01","PR","327","46556.00"
"2018-08-01","RJ","723","111210.91"
"2018-08-01","RN","20","5993.75"
"2018-08-01","RO","8","3236.63"
"2018-08-01","RS","293","51763.73"
"2018-08-01","SC","201","38204.50"
"2018-08-01","SE","23","5600.79"
"2018-08-01","SP","3164","443835.20"
"2018-08-01","TO","13","2665.51"
